,country,combined figures (kg/capita/year),household estimate (kg/capita/year),household estimate (tonnes/year),retail estimate (kg/capita/year),retail estimate (tonnes/year),food service estimate (kg/capita/year),food service estimate (tonnes/year),confidence in estimate,m49 code,region,source
86,Honduras,124,80,780504,16,152431,28,269461,Very Low Confidence,340,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2073
87,Hungary,133,94,908669,13,124074,26,247642,Low Confidence,348,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2038
88,Iceland,115,76,25827,13,4343,26,8668,Low Confidence,352,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2123
89,India,94,50,68760163,16,21371087,28,37778821,Very Low Confidence,356,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2154
90,Indonesia,121,77,20938252,16,4232646,28,7482277,Very Low Confidence,360,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2142
91,Iran (Islamic Republic of),115,71,5884842,16,1296792,28,2292410,Very Low Confidence,364,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2155
92,Iraq,164,120,4734434,16,614814,28,1086840,Very Low Confidence,368,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2232
93,Ireland,124,55,267073,13,62551,56,274135,Low Confidence,372,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2124
94,Isle of Man,115,76,6445,13,1084,26,2163,Low Confidence,833,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2125
95,Israel,178,100,848395,51,437997,27,233752,Medium Confidence,376,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2233
96,Italy,97,67,4059806,4,219552,26,1548291,High Confidence,380,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2167
97,Jamaica,116,72,213552,16,46112,28,81515,Very Low Confidence,388,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2074
98,Japan,88,64,8159891,9,1095308,15,1870735,Medium Confidence,392,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2032
99,Jordan,137,93,939897,16,157993,28,279293,Very Low Confidence,400,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2234
100,Kazakhstan,120,76,1404584,16,290148,28,512910,Very Low Confidence,398,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2023
101,Kenya,141,99,5217367,11,576411,31,1637020,Medium Confidence,404,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2199
102,Kiribati,135,91,10704,16,1839,28,3251,Very Low Confidence,296,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2101
103,Kuwait,134,95,397706,13,53898,26,107577,Low Confidence,414,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2235
104,Kyrgyzstan,135,91,583951,16,100346,28,177387,Very Low Confidence,417,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2024
105,Lao People's Dem. Rep.,130,86,618994,16,112133,28,198223,Very Low Confidence,418,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2143
106,Latvia,115,76,145263,13,24427,26,48755,Low Confidence,428,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2126
107,Lebanon,149,105,717491,16,107225,28,189547,Very Low Confidence,422,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2236
108,Lesotho,144,100,211661,16,33240,28,58760,Very Low Confidence,426,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2200
109,Liberia,147,103,507043,16,77222,28,136510,Very Low Confidence,430,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2201
110,Libya,120,76,513146,16,106002,28,187385,Very Low Confidence,434,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2109
111,Liechtenstein,111,72,2724,13,487,26,972,Low Confidence,438,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2249
112,Lithuania,115,76,210241,13,35354,26,70564,Low Confidence,440,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2127
113,Luxembourg,117,89,54951,7,4433,21,12868,Medium Confidence,442,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2250
114,Madagascar,147,103,2769594,16,421806,28,745649,Very Low Confidence,450,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2202
115,Malawi,147,103,1913062,16,291357,28,515048,Very Low Confidence,454,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2203
116,Malaysia,260,91,2921577,79,2518199,90,2861537,Medium Confidence,458,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2144
117,Maldives,115,71,37688,16,8305,28,14681,Very Low Confidence,462,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2156
118,Mali,147,103,2018765,16,307456,28,543506,Very Low Confidence,466,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2204
119,Malta,168,129,56812,13,5642,26,11261,Low Confidence,470,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2168
120,Marshall Islands,120,76,4452,16,920,28,1626,Very Low Confidence,584,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2102
121,Mauritania,144,100,450720,16,70783,28,125127,Very Low Confidence,478,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2205
122,Mauritius,132,93,118626,13,16267,26,32467,Low Confidence,480,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2206
123,Mexico,138,94,11979364,16,1995310,28,3527217,Very Low Confidence,484,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2076
124,Micronesia (Fed. States of),135,91,10358,16,1780,28,3146,Very Low Confidence,583,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2103
125,Monaco,111,72,2795,13,500,26,997,Low Confidence,492,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2251
126,Mongolia,122,78,250173,16,50443,28,89171,Very Low Confidence,496,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2033
127,Montenegro,127,83,51988,16,9822,28,17363,Very Low Confidence,499,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2169
128,Morocco,135,91,3319524,16,570427,28,1008375,Very Low Confidence,504,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2110
129,Mozambique,147,103,3118416,16,474931,28,839561,Very Low Confidence,508,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2208
130,Myanmar,130,86,4666125,16,845282,28,1494251,Very Low Confidence,104,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2145
131,Namibia,136,92,229344,16,39015,28,68968,Very Low Confidence,516,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2209
132,Nauru,118,79,850,13,138,26,276,Low Confidence,520,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2104
133,Nepal,123,79,2249412,16,447447,28,790975,Very Low Confidence,524,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2157
134,Netherlands,87,50,854855,11,188068,26,437180,Medium Confidence,528,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2252
135,New Caledonia,118,79,22254,13,3623,26,7231,Low Confidence,540,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2096
136,New Zealand,90,61,291769,3,14923,26,122306,High Confidence,554,Australia and New Zealand,https://www.unep.org/resources/report/unep-food-waste-index-report-2022
137,Nicaragua,124,80,524188,16,102373,28,180970,Very Low Confidence,558,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2078
138,Niger,147,103,2393877,16,364585,28,644496,Very Low Confidence,562,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2210
139,Nigeria,233,189,37941470,16,3143117,28,5556257,Very Low Confidence,566,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2211
140,North Macedonia,127,83,172480,16,32586,28,57605,Very Low Confidence,807,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2170
141,Northern Mariana Islands,118,79,4501,13,733,26,1463,Low Confidence,580,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2105
142,Norway,98,79,423857,14,74088,5,26685,Medium Confidence,578,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2128
143,Oman,134,95,470297,13,63736,26,127213,Low Confidence,512,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2237
144,Pakistan,118,74,15947645,16,3387131,28,5987614,Very Low Confidence,586,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2158
145,Palau,118,79,1416,13,231,26,460,Low Confidence,585,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2106
146,Panama,113,74,313897,13,54402,26,108582,Low Confidence,591,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2079
147,Papua New Guinea,135,91,798767,16,137260,28,242642,Very Low Confidence,598,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2097
148,Paraguay,116,72,510256,16,110179,28,194770,Very Low Confidence,600,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2080
149,Peru,116,72,2354806,16,508472,28,898853,Very Low Confidence,604,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2081
150,Philippines,130,86,9334477,16,1690968,28,2989216,Very Low Confidence,608,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2146
151,Poland,95,56,2119455,13,485392,26,968807,Low Confidence,616,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2039
152,Portugal,123,84,861786,13,131011,26,261488,Low Confidence,620,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2171
153,Puerto Rico,113,74,216839,13,37581,26,75008,Low Confidence,630,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2082
154,Qatar,134,95,267724,13,36283,26,72418,Low Confidence,634,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2238
155,Republic of Korea,110,71,3657764,13,656263,26,1309852,Low Confidence,410,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2034
156,Republic of Moldova,120,76,307419,16,63238,28,111789,Very Low Confidence,498,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2040
157,Romania,109,70,1352979,13,248086,26,495161,Low Confidence,642,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2041
158,Russian Federation,75,33,4868564,14,2001062,28,4033088,Medium Confidence,643,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2042
159,Rwanda,208,164,2075405,16,197489,28,349112,Very Low Confidence,646,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2213
